project_name,domain,description,technologies,difficulty,dataset,learning_topics
Property Listing Classifier,NLP,Classify real-estate listings into property types from listing description text using TF-IDF + SVM.,Python Scikit-learn Pandas Matplotlib,Intermediate,Public Dataset,Natural Language Processing
Multilingual Text Classifier,NLP,Classify documents in 10 languages into predefined categories using XLM-RoBERTa fine-tuning.,Python Transformers HuggingFace Pandas,Advanced,Open Dataset,Natural Language Processing
Price Comparison Scraper + ML Pricer,Data Science,Scrape competitor prices and predict the optimal listing price using regression with market features.,Python Scikit-learn BeautifulSoup Pandas,Beginner,Public Dataset,Regression
Drug-Drug Interaction Predictor,Machine Learning,Predict harmful drug interactions using graph neural networks on molecular structure embeddings.,Python PyTorch DGL Pandas,Beginner,API-Collected Dataset,Deep Learning
Product Recommendation Engine,Machine Learning,Build a collaborative-filtering recommender that suggests products based on user purchase history.,Python Scikit-learn Surprise Pandas,Beginner,Public Dataset,Recommendation Systems
Options Pricing Model,Data Science,Implement Black-Scholes and neural-network-based options pricing models with Greeks visualisation.,Python NumPy TensorFlow Matplotlib,Advanced,Synthetic Dataset,Regression
Skin Lesion Classification,Computer Vision,Classify dermoscopic images into 7 skin conditions using EfficientNet with data augmentation.,Python TensorFlow Keras OpenCV,Advanced,Open Dataset,Computer Vision
Automatic Essay Grader,NLP,"Score student essays on coherence, grammar, and content using BERT embeddings and regression.",Python Transformers Scikit-learn Pandas,Beginner,Public Dataset,Natural Language Processing
Music Playlist Generator,Machine Learning,"Generate personalised playlists by clustering audio features (BPM, key, energy) using k-means + cosine sim.",Python Scikit-learn Librosa Pandas,Intermediate,Government Dataset,Recommendation Systems
Fashion Item Classifier,Computer Vision,Classify clothing items in images and generate visual style recommendations using ResNet + embedding.,Python TensorFlow Keras OpenCV,Advanced,Web-Scraped Dataset,Computer Vision
Job Description to Skills Extractor,NLP,Extract required skills and qualifications from job postings using SpaCy NLP and custom NER.,Python SpaCy Transformers Pandas,Advanced,Open Dataset,Natural Language Processing
Gesture Recognition Interface,Computer Vision,Translate hand gestures to commands using MediaPipe landmark extraction and LSTM classification.,Python MediaPipe TensorFlow OpenCV,Intermediate,Synthetic Dataset,Computer Vision
Water Quality Predictor,Data Science,Predict water potability from chemical sensor readings using random forest with cross-validated accuracy.,Python Scikit-learn Pandas Matplotlib,Intermediate,Synthetic Dataset,Classification
Insurance Premium Estimator,Machine Learning,Estimate insurance premium quotes from customer demographics and history using gradient boosted trees.,Python XGBoost Scikit-learn Pandas,Intermediate,Research Dataset,Regression
Sports Outcome Predictor,Machine Learning,"Predict football match outcomes using Elo ratings, form indices, and poisson goal models.",Python Scikit-learn Pandas NumPy,Advanced,Research Dataset,Classification
Credit Score Predictor,Machine Learning,Build a credit-scoring model using customer financial history with feature importance and SHAP.,Python Scikit-learn XGBoost Pandas,Beginner,Research Dataset,Classification
Smart Home Energy Monitor,Data Science,Disaggregate appliance-level energy consumption from smart-meter readings using NILM techniques.,Python Scikit-learn Pandas Plotly,Intermediate,Government Dataset,Time Series
Cryptocurrency Sentiment Dashboard,NLP,Aggregate crypto news and Twitter sentiment scores to generate buy/sell signals using VADER + RoBERTa.,Python Transformers Pandas Streamlit,Intermediate,Web-Scraped Dataset,Natural Language Processing
Phishing URL Detector,Machine Learning,Detect phishing URLs from lexical and host-based URL features using logistic regression and XGBoost.,Python Scikit-learn XGBoost Pandas,Intermediate,Government Dataset,Classification
Water Quality Predictor,Data Science,Predict water potability from chemical sensor readings using random forest with cross-validated accuracy.,Python Scikit-learn Pandas Matplotlib,Advanced,Open Dataset,Classification
Hyperparameter Tuning Engine,Machine Learning,Automate hyperparameter search using Bayesian optimisation (Optuna) and compare CV results.,Python Optuna Scikit-learn XGBoost,Intermediate,Kaggle Dataset,Classification
Credit Score Predictor,Machine Learning,Build a credit-scoring model using customer financial history with feature importance and SHAP.,Python Scikit-learn XGBoost Pandas,Advanced,Government Dataset,Classification
Twitter Trend Forecaster,NLP,Forecast trending topics on Twitter 6 hours ahead using NLP feature extraction and time-series regression.,Python Transformers Pandas Prophet,Intermediate,API-Collected Dataset,Natural Language Processing
Movie Box-Office Predictor,Data Science,"Forecast box-office revenue from cast, budget, genre, and trailer sentiment using gradient boosting.",Python XGBoost Scikit-learn Pandas,Intermediate,Kaggle Dataset,Regression
Autonomous Lane Detection,Computer Vision,Detect lane markings on roads from dashcam video using Hough transform and CNN segmentation.,Python OpenCV TensorFlow NumPy,Beginner,Synthetic Dataset,Computer Vision
Restaurant Recommender App,Machine Learning,Suggest restaurants from Yelp data using hybrid collaborative + content-based filtering.,Python Scikit-learn Surprise Pandas,Advanced,Web-Scraped Dataset,Recommendation Systems
Fashion Item Classifier,Computer Vision,Classify clothing items in images and generate visual style recommendations using ResNet + embedding.,Python TensorFlow Keras OpenCV,Beginner,Research Dataset,Computer Vision
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Intermediate,Web-Scraped Dataset,Deep Learning
Algorithmic Trading Bot,Data Science,Develop an automated trading strategy backtester using TA-Lib indicators and reinforcement learning.,Python Stable-Baselines3 Pandas Plotly,Advanced,Research Dataset,Time Series
Named Entity Recognition System,NLP,"Extract and classify entities (person, org, location) from text using SpaCy + custom training.",Python SpaCy Transformers Pandas,Intermediate,Research Dataset,Natural Language Processing
Question Answering Chatbot,NLP,Build a context-aware QA bot using RAG (retrieval augmented generation) with FAISS and GPT.,Python Transformers FAISS LangChain,Intermediate,Kaggle Dataset,Natural Language Processing
Heart Disease Risk Predictor,Machine Learning,Predict patient heart disease risk from clinical features using ensemble classifiers and SHAP explainability.,Python Scikit-learn XGBoost Pandas,Intermediate,Open Dataset,Classification
Delivery Route Optimiser,Data Science,Optimise last-mile delivery routes using the vehicle routing problem (VRP) with OR-Tools and demand clustering.,Python OR-Tools Pandas NumPy,Intermediate,Open Dataset,Regression
Interview Performance Scorer,NLP,"Score candidate interview responses using sentiment, coherence, and keyword analysis with BERT.",Python Transformers HuggingFace Pandas,Advanced,Public Dataset,Natural Language Processing
House Price Estimator,Machine Learning,"Estimate residential property values from location, size, and amenity features using XGBoost with maps.",Python XGBoost Scikit-learn Pandas,Advanced,Research Dataset,Regression
Crop Disease Diagnosis App,Computer Vision,Identify crop diseases from leaf images in the field using a lightweight MobileNet model for edge deployment.,Python TensorFlow Lite OpenCV Pandas,Advanced,Open Dataset,Computer Vision
ImageNet Style Transfer App,Computer Vision,Apply artistic styles to photos using neural style transfer with VGG-19 and Gram matrix optimisation.,Python PyTorch TensorFlow OpenCV,Advanced,API-Collected Dataset,Deep Learning
Candidate-Job Fit Scorer,NLP,Match candidate profiles to job descriptions using bi-encoder sentence similarity with FAISS indexing.,Python Transformers FAISS Scikit-learn,Intermediate,Web-Scraped Dataset,Natural Language Processing
Document Summarisation Engine,NLP,Summarise long PDFs and reports using extractive (TextRank) and abstractive (BART) techniques.,Python Transformers HuggingFace PyPDF2,Intermediate,Web-Scraped Dataset,Natural Language Processing
Industrial Anomaly Detector,Machine Learning,Detect manufacturing defects in sensor time-series data using autoencoder reconstruction error.,Python PyTorch Scikit-learn Pandas,Beginner,Research Dataset,Deep Learning
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Advanced,Public Dataset,Deep Learning
Clinical Note Summariser,NLP,Summarise lengthy physician notes into structured SOAP format using a transformer seq2seq model.,Python Transformers HuggingFace FastAPI,Intermediate,Synthetic Dataset,Natural Language Processing
Tabular Data AutoML Pipeline,Machine Learning,Build an automated ML pipeline that selects optimal models and features for any tabular dataset.,Python Scikit-learn TPOT Pandas,Advanced,Open Dataset,Classification
Carbon Emission Calculator,Data Science,Estimate carbon footprints from supply-chain and transport data using regression and scenario modelling.,Python Scikit-learn Pandas Plotly,Intermediate,Research Dataset,Regression
Movie Box-Office Predictor,Data Science,"Forecast box-office revenue from cast, budget, genre, and trailer sentiment using gradient boosting.",Python XGBoost Scikit-learn Pandas,Intermediate,Research Dataset,Regression
Retail Sales Forecaster,Data Science,"Forecast store-level weekly sales using LightGBM with lag features, holidays, and weather data.",Python LightGBM Pandas Prophet,Intermediate,Public Dataset,Time Series
Water Quality Predictor,Data Science,Predict water potability from chemical sensor readings using random forest with cross-validated accuracy.,Python Scikit-learn Pandas Matplotlib,Intermediate,Kaggle Dataset,Classification
Fraud Transaction Detector,Machine Learning,Detect fraudulent credit-card transactions in real time using an anomaly-detection pipeline with isolation forest.,Python Scikit-learn XGBoost Pandas,Advanced,API-Collected Dataset,Classification
Property Listing Classifier,NLP,Classify real-estate listings into property types from listing description text using TF-IDF + SVM.,Python Scikit-learn Pandas Matplotlib,Intermediate,Synthetic Dataset,Natural Language Processing
Irrigation Optimiser,Data Science,Recommend irrigation schedules based on soil moisture sensors and weather forecasts using LSTM.,Python TensorFlow Pandas Plotly,Intermediate,Kaggle Dataset,Time Series
Content Moderation Classifier,NLP,Automatically flag toxic and rule-violating content using a multi-label BERT classifier.,Python Transformers HuggingFace Pandas,Beginner,Kaggle Dataset,Natural Language Processing
Medical Chatbot for Symptom Triage,NLP,Build a conversational symptom checker that maps user inputs to potential diagnoses using LLM fine-tuning.,Python Transformers FastAPI Streamlit,Intermediate,Research Dataset,Natural Language Processing
House Price Estimator,Machine Learning,"Estimate residential property values from location, size, and amenity features using XGBoost with maps.",Python XGBoost Scikit-learn Pandas,Intermediate,Open Dataset,Regression
Predictive Maintenance System,Machine Learning,Predict machine failures from IoT sensor vibration and temperature data using LSTM and isolation forest.,Python TensorFlow Scikit-learn Pandas,Beginner,Public Dataset,Time Series
Malware Classifier,Machine Learning,Classify malware families from static PE-file features using gradient boosting with SHAP analysis.,Python XGBoost Scikit-learn Pandas,Advanced,Public Dataset,Classification
Clinical Note Summariser,NLP,Summarise lengthy physician notes into structured SOAP format using a transformer seq2seq model.,Python Transformers HuggingFace FastAPI,Intermediate,Public Dataset,Natural Language Processing
Autonomous Lane Detection,Computer Vision,Detect lane markings on roads from dashcam video using Hough transform and CNN segmentation.,Python OpenCV TensorFlow NumPy,Intermediate,Public Dataset,Computer Vision
Pest Outbreak Forecaster,Machine Learning,Predict regional pest outbreak probability from agricultural and climate data using random forest.,Python Scikit-learn Pandas Matplotlib,Advanced,Web-Scraped Dataset,Classification
Tabular Data AutoML Pipeline,Machine Learning,Build an automated ML pipeline that selects optimal models and features for any tabular dataset.,Python Scikit-learn TPOT Pandas,Beginner,Web-Scraped Dataset,Classification
Customer Lifetime Value Predictor,Data Science,Estimate customer LTV using BG-NBD and Gamma-Gamma models with RFM segmentation.,Python Lifetimes Pandas Plotly,Beginner,Research Dataset,Regression
Fraud Transaction Detector,Machine Learning,Detect fraudulent credit-card transactions in real time using an anomaly-detection pipeline with isolation forest.,Python Scikit-learn XGBoost Pandas,Intermediate,Open Dataset,Classification
Time Series Anomaly Detector,Data Science,"Flag anomalies in multivariate time-series data using isolation forest, LOF, and LSTM autoencoder.",Python PyTorch Scikit-learn Pandas,Intermediate,Government Dataset,Time Series
Options Pricing Model,Data Science,Implement Black-Scholes and neural-network-based options pricing models with Greeks visualisation.,Python NumPy TensorFlow Matplotlib,Beginner,Public Dataset,Regression
Hate Speech Moderator,NLP,Detect and classify hate speech and offensive language in social-media posts using multi-class BERT.,Python Transformers HuggingFace Pandas,Intermediate,Government Dataset,Natural Language Processing
Irrigation Optimiser,Data Science,Recommend irrigation schedules based on soil moisture sensors and weather forecasts using LSTM.,Python TensorFlow Pandas Plotly,Beginner,Synthetic Dataset,Time Series
Flight Delay Predictor,Machine Learning,"Predict flight delays from weather, carrier, and airport data using gradient boosting classification.",Python XGBoost Scikit-learn Pandas,Advanced,Government Dataset,Classification
Interview Performance Scorer,NLP,"Score candidate interview responses using sentiment, coherence, and keyword analysis with BERT.",Python Transformers HuggingFace Pandas,Advanced,Web-Scraped Dataset,Natural Language Processing
Fashion Item Classifier,Computer Vision,Classify clothing items in images and generate visual style recommendations using ResNet + embedding.,Python TensorFlow Keras OpenCV,Intermediate,Open Dataset,Computer Vision
Job Description to Skills Extractor,NLP,Extract required skills and qualifications from job postings using SpaCy NLP and custom NER.,Python SpaCy Transformers Pandas,Beginner,Research Dataset,Natural Language Processing
Dynamic Pricing Optimiser,Data Science,Optimise product pricing in real time using demand elasticity models and contextual bandit algorithms.,Python Scikit-learn NumPy Pandas,Advanced,Open Dataset,Regression
Real-Time Object Detector,Computer Vision,Detect and track objects in live video streams using YOLOv8 with custom dataset fine-tuning.,Python PyTorch OpenCV Ultralytics,Advanced,Open Dataset,Computer Vision
Restaurant Recommender App,Machine Learning,Suggest restaurants from Yelp data using hybrid collaborative + content-based filtering.,Python Scikit-learn Surprise Pandas,Advanced,Government Dataset,Recommendation Systems
Crop Yield Predictor,Machine Learning,"Forecast crop yields per hectare from soil chemistry, weather, and satellite data using gradient boosting.",Python XGBoost Scikit-learn Pandas,Beginner,Open Dataset,Regression
Diabetic Retinopathy Detector,Computer Vision,Detect diabetic retinopathy in fundus images using convolutional neural networks to assist ophthalmologists.,Python TensorFlow Keras OpenCV,Advanced,API-Collected Dataset,Computer Vision
Salary Prediction Tool,Machine Learning,"Predict job salaries from role, skills, location, and experience using gradient boosting regression.",Python XGBoost Scikit-learn Pandas,Intermediate,Government Dataset,Regression
Wildfire Smoke Detector,Computer Vision,Detect wildfire smoke from satellite imagery using CNN classification with geographic overlays.,Python PyTorch OpenCV Matplotlib,Intermediate,Public Dataset,Computer Vision
Review Sentiment Analyser,NLP,"Classify product reviews into positive, neutral, and negative sentiments with aspect-level insights.",Python Transformers HuggingFace Pandas,Intermediate,Government Dataset,Natural Language Processing
Revenue Forecasting Engine,Data Science,Predict quarterly company revenue from sales CRM data using Facebook Prophet with seasonality decomposition.,Python Prophet Pandas Plotly,Advanced,Kaggle Dataset,Time Series
Salary Prediction Tool,Machine Learning,"Predict job salaries from role, skills, location, and experience using gradient boosting regression.",Python XGBoost Scikit-learn Pandas,Intermediate,API-Collected Dataset,Regression
Product Recommendation Engine,Machine Learning,Build a collaborative-filtering recommender that suggests products based on user purchase history.,Python Scikit-learn Surprise Pandas,Beginner,Research Dataset,Recommendation Systems
Water Quality Predictor,Data Science,Predict water potability from chemical sensor readings using random forest with cross-validated accuracy.,Python Scikit-learn Pandas Matplotlib,Advanced,Kaggle Dataset,Classification
Network Intrusion Detector,Machine Learning,Detect network intrusions and attacks from packet-level features using random forest on CICIDS dataset.,Python Scikit-learn XGBoost Pandas,Advanced,Web-Scraped Dataset,Classification
Supply Chain Demand Forecaster,Data Science,Predict supply chain demand with multivariate time-series models to reduce inventory waste.,Python Prophet LightGBM Pandas,Beginner,Web-Scraped Dataset,Time Series
Clinical Note Summariser,NLP,Summarise lengthy physician notes into structured SOAP format using a transformer seq2seq model.,Python Transformers HuggingFace FastAPI,Intermediate,API-Collected Dataset,Natural Language Processing
Retail Sales Forecaster,Data Science,"Forecast store-level weekly sales using LightGBM with lag features, holidays, and weather data.",Python LightGBM Pandas Prophet,Beginner,Research Dataset,Time Series
Drug-Drug Interaction Predictor,Machine Learning,Predict harmful drug interactions using graph neural networks on molecular structure embeddings.,Python PyTorch DGL Pandas,Advanced,Open Dataset,Deep Learning
Review Sentiment Analyser,NLP,"Classify product reviews into positive, neutral, and negative sentiments with aspect-level insights.",Python Transformers HuggingFace Pandas,Intermediate,Open Dataset,Natural Language Processing
Skin Lesion Classification,Computer Vision,Classify dermoscopic images into 7 skin conditions using EfficientNet with data augmentation.,Python TensorFlow Keras OpenCV,Intermediate,Public Dataset,Computer Vision
Movie Box-Office Predictor,Data Science,"Forecast box-office revenue from cast, budget, genre, and trailer sentiment using gradient boosting.",Python XGBoost Scikit-learn Pandas,Beginner,Research Dataset,Regression
Solar Power Output Forecaster,Data Science,Predict solar panel output from irradiance and temperature forecasts using XGBoost regression.,Python XGBoost Pandas Plotly,Beginner,Government Dataset,Regression
Revenue Forecasting Engine,Data Science,Predict quarterly company revenue from sales CRM data using Facebook Prophet with seasonality decomposition.,Python Prophet Pandas Plotly,Intermediate,Web-Scraped Dataset,Time Series
Explainable AI Dashboard,Machine Learning,Build a SHAP + LIME dashboard that explains any black-box model's predictions interactively.,Python SHAP Scikit-learn Streamlit,Intermediate,Government Dataset,Classification
Book Recommendation Engine,Machine Learning,Recommend books using content-based filtering on TF-IDF of descriptions and user reading history.,Python Scikit-learn Pandas Streamlit,Advanced,Kaggle Dataset,Recommendation Systems
Twitter Trend Forecaster,NLP,Forecast trending topics on Twitter 6 hours ahead using NLP feature extraction and time-series regression.,Python Transformers Pandas Prophet,Advanced,Public Dataset,Natural Language Processing
Carbon Emission Calculator,Data Science,Estimate carbon footprints from supply-chain and transport data using regression and scenario modelling.,Python Scikit-learn Pandas Plotly,Intermediate,Public Dataset,Regression
Social Network Community Detector,Machine Learning,Detect communities in social graphs using Louvain algorithm with embedding-based node classification.,Python NetworkX PyTorch Pandas,Intermediate,Open Dataset,Classification
Spam Email Classifier,NLP,Filter spam emails using TF-IDF + naive Bayes with multinomial likelihood estimation and threshold tuning.,Python Scikit-learn Pandas Matplotlib,Advanced,Government Dataset,Natural Language Processing
Spam Email Classifier,NLP,Filter spam emails using TF-IDF + naive Bayes with multinomial likelihood estimation and threshold tuning.,Python Scikit-learn Pandas Matplotlib,Intermediate,Government Dataset,Natural Language Processing
Spam Email Classifier,NLP,Filter spam emails using TF-IDF + naive Bayes with multinomial likelihood estimation and threshold tuning.,Python Scikit-learn Pandas Matplotlib,Intermediate,Research Dataset,Natural Language Processing
Language Detection System,NLP,Identify the language of user-provided text across 50+ languages using n-gram language models.,Python Scikit-learn Langdetect Pandas,Intermediate,Open Dataset,Natural Language Processing
Traffic Flow Predictor,Data Science,Predict road traffic density per segment using historical GPS probe data and weather with LSTM.,Python TensorFlow Pandas Folium,Intermediate,Government Dataset,Time Series
Influencer Engagement Predictor,Data Science,"Predict Instagram post engagement rate from caption features, hashtags, and posting time.",Python Scikit-learn Pandas Matplotlib,Advanced,Web-Scraped Dataset,Regression
Document Scanner + OCR,Computer Vision,"Build a mobile-friendly document scanner that detects edges, deskews, and extracts text via Tesseract.",Python OpenCV Tesseract Scikit-image,Intermediate,API-Collected Dataset,Computer Vision
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Advanced,Government Dataset,Deep Learning
Question Answering Chatbot,NLP,Build a context-aware QA bot using RAG (retrieval augmented generation) with FAISS and GPT.,Python Transformers FAISS LangChain,Beginner,Public Dataset,Natural Language Processing
Industrial Anomaly Detector,Machine Learning,Detect manufacturing defects in sensor time-series data using autoencoder reconstruction error.,Python PyTorch Scikit-learn Pandas,Beginner,Synthetic Dataset,Deep Learning
Wildfire Smoke Detector,Computer Vision,Detect wildfire smoke from satellite imagery using CNN classification with geographic overlays.,Python PyTorch OpenCV Matplotlib,Intermediate,Synthetic Dataset,Computer Vision
Student Performance Predictor,Machine Learning,"Predict student exam scores from attendance, assignment scores, and activity logs using regression.",Python Scikit-learn Pandas Matplotlib,Beginner,Open Dataset,Regression
Traffic Flow Predictor,Data Science,Predict road traffic density per segment using historical GPS probe data and weather with LSTM.,Python TensorFlow Pandas Folium,Beginner,Research Dataset,Time Series
Resume Parser + Job Matcher,NLP,Extract skills and experience from resumes and match them to job postings using semantic similarity.,Python SpaCy Transformers Scikit-learn,Advanced,Web-Scraped Dataset,Natural Language Processing
Book Recommendation Engine,Machine Learning,Recommend books using content-based filtering on TF-IDF of descriptions and user reading history.,Python Scikit-learn Pandas Streamlit,Beginner,Kaggle Dataset,Recommendation Systems
Student Performance Predictor,Machine Learning,"Predict student exam scores from attendance, assignment scores, and activity logs using regression.",Python Scikit-learn Pandas Matplotlib,Advanced,Research Dataset,Regression
Plagiarism Detector,NLP,Detect text plagiarism using sentence embeddings (SBERT) and cosine similarity at paragraph level.,Python Transformers Scikit-learn Pandas,Intermediate,Web-Scraped Dataset,Natural Language Processing
House Price Estimator,Machine Learning,"Estimate residential property values from location, size, and amenity features using XGBoost with maps.",Python XGBoost Scikit-learn Pandas,Beginner,API-Collected Dataset,Regression
Music Genre Classifier,Machine Learning,"Classify music tracks into genres from MFCC, chroma, and spectral features using SVM and random forest.",Python Librosa Scikit-learn Pandas,Intermediate,Web-Scraped Dataset,Classification
Language Detection System,NLP,Identify the language of user-provided text across 50+ languages using n-gram language models.,Python Scikit-learn Langdetect Pandas,Beginner,Government Dataset,Natural Language Processing
Waste Classification System,Computer Vision,"Classify waste images into recyclable categories (paper, plastic, glass) using ResNet-50 transfer learning.",Python TensorFlow Keras OpenCV,Advanced,Synthetic Dataset,Computer Vision
Portfolio Optimiser,Data Science,Build a mean-variance portfolio optimisation tool with Monte Carlo simulations and Sharpe-ratio maximisation.,Python NumPy Pandas Plotly,Advanced,Synthetic Dataset,Regression
Predictive Maintenance System,Machine Learning,Predict machine failures from IoT sensor vibration and temperature data using LSTM and isolation forest.,Python TensorFlow Scikit-learn Pandas,Intermediate,Research Dataset,Time Series
Gesture Recognition Interface,Computer Vision,Translate hand gestures to commands using MediaPipe landmark extraction and LSTM classification.,Python MediaPipe TensorFlow OpenCV,Intermediate,Kaggle Dataset,Computer Vision
Influencer Engagement Predictor,Data Science,"Predict Instagram post engagement rate from caption features, hashtags, and posting time.",Python Scikit-learn Pandas Matplotlib,Advanced,API-Collected Dataset,Regression
Property Listing Classifier,NLP,Classify real-estate listings into property types from listing description text using TF-IDF + SVM.,Python Scikit-learn Pandas Matplotlib,Beginner,Synthetic Dataset,Natural Language Processing
Candidate-Job Fit Scorer,NLP,Match candidate profiles to job descriptions using bi-encoder sentence similarity with FAISS indexing.,Python Transformers FAISS Scikit-learn,Intermediate,Government Dataset,Natural Language Processing
Vehicle Detection System,Computer Vision,Count and classify vehicles from traffic cameras using YOLOv8 with lane-level analytics.,Python PyTorch Ultralytics OpenCV,Beginner,Open Dataset,Computer Vision
Resume Parser + Job Matcher,NLP,Extract skills and experience from resumes and match them to job postings using semantic similarity.,Python SpaCy Transformers Scikit-learn,Intermediate,Research Dataset,Natural Language Processing
Vehicle Detection System,Computer Vision,Count and classify vehicles from traffic cameras using YOLOv8 with lane-level analytics.,Python PyTorch Ultralytics OpenCV,Intermediate,Web-Scraped Dataset,Computer Vision
Hate Speech Moderator,NLP,Detect and classify hate speech and offensive language in social-media posts using multi-class BERT.,Python Transformers HuggingFace Pandas,Intermediate,Synthetic Dataset,Natural Language Processing
Tabular Data AutoML Pipeline,Machine Learning,Build an automated ML pipeline that selects optimal models and features for any tabular dataset.,Python Scikit-learn TPOT Pandas,Intermediate,API-Collected Dataset,Classification
Vehicle Detection System,Computer Vision,Count and classify vehicles from traffic cameras using YOLOv8 with lane-level analytics.,Python PyTorch Ultralytics OpenCV,Intermediate,Open Dataset,Computer Vision
Restaurant Recommender App,Machine Learning,Suggest restaurants from Yelp data using hybrid collaborative + content-based filtering.,Python Scikit-learn Surprise Pandas,Intermediate,Synthetic Dataset,Recommendation Systems
Patient Readmission Predictor,Data Science,Forecast hospital readmission within 30 days using structured EHR data and gradient boosting.,Python XGBoost Scikit-learn Pandas,Beginner,Public Dataset,Classification
Age and Gender Estimator,Computer Vision,Estimate age and gender from facial images using deep CNNs trained on the UTKFace dataset.,Python TensorFlow OpenCV DeepFace,Intermediate,Kaggle Dataset,Computer Vision
Handwriting Recognition System,Computer Vision,Recognise handwritten digits and characters using CNN trained on MNIST and IAM datasets.,Python TensorFlow Keras OpenCV,Intermediate,Government Dataset,Computer Vision
Influencer Engagement Predictor,Data Science,"Predict Instagram post engagement rate from caption features, hashtags, and posting time.",Python Scikit-learn Pandas Matplotlib,Intermediate,Open Dataset,Regression
Review Sentiment Analyser,NLP,"Classify product reviews into positive, neutral, and negative sentiments with aspect-level insights.",Python Transformers HuggingFace Pandas,Intermediate,API-Collected Dataset,Natural Language Processing
Autonomous Lane Detection,Computer Vision,Detect lane markings on roads from dashcam video using Hough transform and CNN segmentation.,Python OpenCV TensorFlow NumPy,Intermediate,API-Collected Dataset,Computer Vision
Supply Chain Demand Forecaster,Data Science,Predict supply chain demand with multivariate time-series models to reduce inventory waste.,Python Prophet LightGBM Pandas,Intermediate,Government Dataset,Time Series
Irrigation Optimiser,Data Science,Recommend irrigation schedules based on soil moisture sensors and weather forecasts using LSTM.,Python TensorFlow Pandas Plotly,Intermediate,Research Dataset,Time Series
Cart Abandonment Predictor,Machine Learning,Predict which users will abandon their shopping cart and trigger targeted retention campaigns.,Python XGBoost Scikit-learn Pandas,Advanced,Open Dataset,Classification
Cryptocurrency Sentiment Dashboard,NLP,Aggregate crypto news and Twitter sentiment scores to generate buy/sell signals using VADER + RoBERTa.,Python Transformers Pandas Streamlit,Advanced,Open Dataset,Natural Language Processing
Cart Abandonment Predictor,Machine Learning,Predict which users will abandon their shopping cart and trigger targeted retention campaigns.,Python XGBoost Scikit-learn Pandas,Intermediate,Government Dataset,Classification
Autonomous Lane Detection,Computer Vision,Detect lane markings on roads from dashcam video using Hough transform and CNN segmentation.,Python OpenCV TensorFlow NumPy,Advanced,Research Dataset,Computer Vision
Language Detection System,NLP,Identify the language of user-provided text across 50+ languages using n-gram language models.,Python Scikit-learn Langdetect Pandas,Beginner,Public Dataset,Natural Language Processing
Stock Price Forecaster,Data Science,Forecast next-day stock closing prices using LSTM networks trained on OHLCV market data.,Python TensorFlow Pandas Matplotlib,Advanced,Government Dataset,Time Series
